nodes	16S_rRNA_Count
'internal_node_2587'	2.14064239379851
'internal_node_2588'	1.93168609473491
'internal_node_2589'	1.63203997793617
'internal_node_2590'	1.38127279251776
'internal_node_2594'	1
'internal_node_2595'	1
'internal_node_2600'	2.2423128196793
'internal_node_2601'	2.50093450557124
'internal_node_2615'	2.44085155147723
'internal_node_2618'	1.81900910050019
'internal_node_2619'	1.43213991919028
'internal_node_2620'	1.51456327873138
'internal_node_2621'	1.64367018762569
'internal_node_2622'	2.20051343745009
'internal_node_2623'	1
'internal_node_2624'	1
'internal_node_2625'	1
'internal_node_2626'	1
'internal_node_2627'	1
'internal_node_2628'	1
'internal_node_2630'	1
'internal_node_2636'	1
'internal_node_2637'	1
'internal_node_2642'	1
'internal_node_2643'	1
'internal_node_2649'	1
'internal_node_2650'	1
'internal_node_2651'	1
'internal_node_2652'	1
'internal_node_2653'	1
'internal_node_2654'	1
'internal_node_2655'	1
'internal_node_2656'	1
'internal_node_2657'	1
'internal_node_2658'	1
'internal_node_2662'	1
'internal_node_2670'	1
'internal_node_2671'	1
'internal_node_2672'	1
'internal_node_2675'	1
'internal_node_2676'	1
'internal_node_2677'	1
'internal_node_2678'	1
'internal_node_2679'	1
'internal_node_2680'	1
'internal_node_2681'	1
'internal_node_2682'	1
'internal_node_2687'	1
'internal_node_2692'	1
'internal_node_2699'	1
'internal_node_2700'	1
'internal_node_2701'	1
'internal_node_2702'	1
'internal_node_2703'	1
'internal_node_2707'	1
'internal_node_2710'	1
'internal_node_2711'	1
'internal_node_2718'	1
'internal_node_2722'	2.15780156675374
'internal_node_2723'	2.12923406633453
'internal_node_2724'	2.0340625139506
'internal_node_2725'	2.32818998130512
'internal_node_2726'	2.42802727662845
'internal_node_2727'	2.44695373728073
'internal_node_2728'	2.39571471904779
'internal_node_2729'	2.64591258776389
'internal_node_2730'	3
'internal_node_2731'	3
'internal_node_2734'	3
'internal_node_2735'	3
'internal_node_2741'	2.52411995887158
'internal_node_2744'	2.40500191582059
'internal_node_2745'	1.95688143420739
'internal_node_2746'	1.73829664111565
'internal_node_2747'	1.99066313420748
'internal_node_2750'	1.4586023172959
'internal_node_2755'	2.15207789654436
'internal_node_2756'	1.97283173157717
'internal_node_2757'	1.60618508004726
'internal_node_2759'	1
'internal_node_2760'	1
'internal_node_2765'	2.05061140422301
'internal_node_2766'	2.0743217476276
'internal_node_2767'	3
'internal_node_2773'	2
'internal_node_2778'	3
'internal_node_2788'	1
'internal_node_2792'	1
'internal_node_2795'	2.26501854971875
'internal_node_2796'	2.41582812767572
'internal_node_2797'	2.620065690991
'internal_node_2798'	2
'internal_node_2804'	2
'internal_node_2808'	2.21854675558751
'internal_node_2809'	2
'internal_node_2810'	2
'internal_node_2811'	2
'internal_node_2812'	2
'internal_node_2818'	2.47544402824791
'internal_node_2822'	2.81929762265431
'internal_node_2823'	3.42605674097511
'internal_node_2824'	3
'internal_node_2825'	3
'internal_node_2826'	3
'internal_node_2833'	1.99053242504506
'internal_node_2834'	1.98624066886583
'internal_node_2835'	1.98239681844072
'internal_node_2836'	1.97573516681716
'internal_node_2837'	1.96616288674986
'internal_node_2838'	1
'internal_node_2839'	1
'internal_node_2840'	1
'internal_node_2841'	1
'internal_node_2845'	1
'internal_node_2849'	3.56092037459019
'internal_node_2859'	1.82030676189907
'internal_node_2867'	1.49293832239569
'internal_node_2868'	1
'internal_node_2873'	2
'internal_node_2882'	3
'internal_node_2889'	2
'internal_node_2890'	2
'internal_node_2894'	2.59036850690641
'internal_node_2895'	2.50039830255109
'internal_node_2896'	2.57577610609274
'internal_node_2897'	2.54422041724751
'internal_node_2898'	2.51056003447583
'internal_node_2899'	2.51359540585556
'internal_node_2900'	3.04732498417164
'internal_node_2901'	2.70050073167172
'internal_node_2902'	3.88199490624836
'internal_node_2903'	2
'internal_node_2911'	3.67168720774719
'internal_node_2915'	1.53838005199885
'internal_node_2918'	2.50599076332892
'internal_node_2919'	2.80111389363172
'internal_node_2920'	2.97245446377691
'internal_node_2921'	2.86313297943762
'internal_node_2924'	3.08683813769291
'internal_node_2925'	4
'internal_node_2926'	4
'internal_node_2930'	2
'internal_node_2933'	2.52940607174697
'internal_node_2934'	2
'internal_node_2941'	2.62043152542714
'internal_node_2942'	2.91144288427214
'internal_node_2943'	2.39392608636422
'internal_node_2944'	2
'internal_node_2945'	2
'internal_node_2946'	2
'internal_node_2951'	2.8954539785514
'internal_node_2962'	2.64566925666119
'internal_node_2963'	2.84385471653861
'internal_node_2964'	3.07605220577541
'internal_node_2965'	2.86858842436191
'internal_node_2966'	3.30212919694948
'internal_node_2967'	3.51966361220576
'internal_node_2976'	3.33089546038458
'internal_node_2977'	3.87946275719742
'internal_node_2978'	3.8120217916594
'internal_node_2980'	4.49431140435092
'internal_node_2981'	5
'internal_node_2996'	2.6637713052377
'internal_node_2998'	2.90387462682419
'internal_node_2999'	2.98204007742258
'internal_node_3000'	2.97964317019132
'internal_node_3001'	3.20668681318984
'internal_node_3002'	4.07089911929152
'internal_node_3003'	2.00542603086179
'internal_node_3011'	1.53284484674658
'internal_node_3012'	1
'internal_node_3016'	5.09410590210441
'internal_node_3017'	4.32984638666718
'internal_node_3018'	4.14008919731045
'internal_node_3019'	4.43898060616245
'internal_node_3021'	3.75919903362681
'internal_node_3023'	2.655058541688
'internal_node_3024'	2.43486085031687
'internal_node_3029'	5.3732039394649
'internal_node_3030'	5.13005189635416
'internal_node_3031'	5.31465615035225
'internal_node_3032'	5
'internal_node_3033'	5
'internal_node_3036'	5
'internal_node_3062'	4.8636761202752
'internal_node_3063'	4
'internal_node_3064'	4
'internal_node_3067'	4
'internal_node_3068'	4
'internal_node_3080'	5.60729809479608
'internal_node_3081'	6.83948638721063
'internal_node_3082'	6.7157763020927
'internal_node_3083'	6.23384285380002
'internal_node_3086'	7
'internal_node_3087'	7
'internal_node_3109'	5.18682883431518
'internal_node_3110'	4.18839153006608
'internal_node_3111'	3.92671382623412
'internal_node_3113'	3
'internal_node_3120'	4.53799496713348
'internal_node_3141'	4.81815740120336
'internal_node_3142'	4.2318873371917
'internal_node_3144'	4.44841693891146
'internal_node_3145'	4
'internal_node_3151'	5.62787855295242
'internal_node_3158'	4.89073137101731
'internal_node_3172'	6.16696678593124
'internal_node_3174'	5.64572291574784
'internal_node_3175'	5.37916836454101
'internal_node_3176'	5
'internal_node_3177'	5
'internal_node_3182'	5.99968847253169
'internal_node_3185'	5.99766122124994
'internal_node_3186'	5.96596655723963
'internal_node_3201'	6.69516651069747
'internal_node_3202'	5.85060647909003
'internal_node_3203'	6.41813636132949
'internal_node_3206'	5
'internal_node_3211'	7.12287291217983
'internal_node_3212'	5.59666734745719
'internal_node_3213'	3.9613817701767
'internal_node_3214'	1.45439690767127
'internal_node_3215'	1.32785271037597
'internal_node_3216'	1.56414202422628
'internal_node_3217'	1.32998511105395
'internal_node_3218'	1
'internal_node_3219'	1
'internal_node_3225'	1
'internal_node_3226'	1
'internal_node_3227'	1
'internal_node_3228'	1
'internal_node_3229'	1
'internal_node_3230'	1
'internal_node_3231'	1
'internal_node_3232'	1
'internal_node_3233'	1
'internal_node_3247'	6.34978403656568
'internal_node_3248'	6.63813622891363
'internal_node_3249'	6.43659371885124
'internal_node_3250'	6.9193339612935
'internal_node_3251'	6.9991937496447
'internal_node_3252'	6.86194696376117
'internal_node_3253'	6.82614036155092
'internal_node_3254'	6.84338970533999
'internal_node_3255'	6.69575233873445
'internal_node_3256'	7
'internal_node_3257'	7
'internal_node_3258'	7
'internal_node_3259'	7
'internal_node_3260'	7
'internal_node_3263'	7
'internal_node_3264'	7
'internal_node_3276'	7
'internal_node_3277'	7
'internal_node_3286'	7
'internal_node_3288'	7
'internal_node_3292'	7
'internal_node_3295'	6.81011939415842
'internal_node_3296'	6.71261011076749
'internal_node_3297'	7.00765996202813
'internal_node_3298'	7.01127041228073
